epoch,train_mse_z,val_rmse_log2,lr,elapsed_seconds
1,0.8803715792506553,4.366570997415421,0.0001,1.3839472569525242
2,0.7311789933223357,4.147430056783699,0.0002,2.883250562474132
3,0.6656959007502485,4.102503435917725,0.0003,4.327626287937164
4,0.6223215811573488,4.0253556563209925,0.0004,5.745784083381295
5,0.5919343158218837,3.984819369636609,0.0005,7.1732780039310455
6,0.5449680858351035,3.802943194908888,0.0004999676211303,8.557722307741642
7,0.4994231369486125,3.854389504494237,0.0004998704929253,9.879318807274103
8,0.4707031691364232,3.770284701148437,0.0004997086405946,11.095922203734515
9,0.4413691312680782,3.655087257550029,0.000499482106147,12.410275163128972
10,0.4192203706894604,3.5756963920451,0.0004991909483794,13.727756291627884
11,0.3942077741542755,3.6306207585795023,0.000498835242862,15.045170845463872
12,0.3826419568607068,3.71212156846833,0.0004984150819181,16.256723653525114
13,0.3667307762925969,3.545287353149588,0.0004979305746004,17.50646031461656
14,0.35274672437121485,3.5454520361739457,0.0004973818466630373,19.047773133963346
15,0.33611614217295266,3.4731458768366035,0.0004967690405281593,20.257805624976754
16,0.3305925570807534,3.474511866416176,0.0004960923152497131,21.612006437033415
17,0.3194040400010169,3.4312144853418225,0.0004953518464717836,22.816527092829347
18,0.30556151152066574,3.488472922880751,0.0004945478263830845,24.116909286007285
19,0.3008454684957742,3.4384829814039954,0.0004936804636670758,25.311257218942046
20,0.2908917119918309,3.377518114324225,0.0004927499834478,26.512077698484063
21,0.2814620534453245,3.4532049765575468,0.0004917566272314514,27.829368686303496
22,0.27489729012954217,3.4697918629022144,0.0004907006528436928,29.042456390336156
23,0.27052376781699133,3.449671115416078,0.000489582334362737,30.252407440915704
24,0.26327169005073214,3.417611000305825,0.0004884019620482097,31.457417415454984
25,0.2580426935152648,3.4097583799252114,0.0004871598422658128,32.667162077501416
26,0.25528410085984815,3.4340929505060585,0.0004858562974078069,33.8829945102334
27,0.24801004315482916,3.3673787351891766,0.00048449166580933457,35.08795805461705
28,0.24092978848413632,3.440377897676901,0.0004830663016606052,36.41402879729867
29,0.2363165171206951,3.3943640049097796,0.00048158057491496525,37.64106439240277
30,0.23152142576182996,3.4444937601512295,0.00048003487119287663,38.96724435314536
31,0.22928170089769953,3.414968489824739,0.0004784295916818289,40.209986455738544
32,0.225597986743537,3.4148350450167877,0.00047676515303221107,41.40712586604059
33,0.2235812832258994,3.3985529587448267,0.0004750419872491699,42.61181021295488
34,0.2186560997596154,3.35325208584928,0.0004732605415804831,43.81699397414923
35,0.213566662594346,3.4026121071757753,0.0004714212784004759,45.12129675410688
36,0.21140625088272846,3.3962843970096577,0.00046952467509001197,46.32834061793983
37,0.20856137151993132,3.378754298499699,0.0004675712239125891,47.5300280302763
38,0.205835263271999,3.3870263601743953,0.00046556143188657226,48.73791582882404
39,0.1995239754347261,3.3976995185412484,0.0004634958206535969,49.935703944414854
40,0.20125065851543433,3.391226838788311,0.0004613749263431768,51.13403735309839
41,0.19966168107514914,3.3997115023047657,0.00045919929943355155,52.33297536894679
42,0.19799248568567523,3.4338521432844376,0.00045696950460881024,53.52855007350445
43,0.19353395662201708,3.4284033491488706,0.0004546861206123272,54.72102105431259
44,0.19033894301387508,3.395063983584214,0.0004523497400965494,55.91848692111671
45,0.18737098923494983,3.3708577019891925,0.00044996096946917357,57.19940996915102
46,0.18608999575584154,3.394563868838052,0.0004475204287357527,58.48080142214894
47,0.18455181933867396,3.388542171879258,0.00044502875133877395,59.782641150057316
48,0.18344337720611498,3.3527965538003195,0.0004424865839932484,61.073059076443315
49,0.18202922413817454,3.379772421727635,0.000439894586518856,62.42764566652477
50,0.18148637923497807,3.381904809101963,0.00043725343166868975,63.675378173589706
51,0.17997473984226703,3.341356391071402,0.0004345638049546421,65.11430209502578
52,0.1769478970406705,3.3568065702792502,0.00043182640446948065,66.71893036551774
53,0.17471757323468431,3.4045385649487425,0.00042904194070565824,68.1452128328383
54,0.17394957740257502,3.395464014724413,0.000426211136370904,69.56987036578357
55,0.17638535625861543,3.3813473737451125,0.00042333472620064506,70.9801679905504
56,0.17279273968196351,3.3620894682558418,0.0004204134567673059,72.41273862309754
57,0.1699723339658377,3.3750763776223742,0.00041744808628653516,73.8544184807688
58,0.16826872320036382,3.431315478798749,0.0004144393844204108,75.27066064625978
59,0.16801451947087137,3.3378859162137102,0.0004113881320776746,76.68018397502601
60,0.1661034344139813,3.4513130931211853,0.0004082951212110466,78.18312478251755
61,0.16403905252516834,3.3821377309485685,0.00040516115461167456,79.59530455060303
62,0.16248258156057918,3.4245028180691905,0.0004019870457007685,81.01983528397977
63,0.1623612836354854,3.3586159605616053,0.00039877361831847807,82.42213162593544
64,0.1639733002886875,3.450067203868769,0.00039552170651006434,83.82927520759404
65,0.16093637231438693,3.351808152370518,0.00039223215430942343,85.22783186100423
66,0.15753716154425224,3.3566825272645864,0.0003889058155200171,86.63824961520731
67,0.15886861398919822,3.3722021584293,0.0003855435534932689,88.05333583056927
68,0.15675631097888232,3.360345890526499,0.00038214624090448016,89.45841688849032
69,0.15642770427395936,3.341419474071525,0.0003787147595263278,90.87391345016658
70,0.1546899429510248,3.3611926584896796,0.00037525000000000004,92.28461967036128
71,0.1580845524990396,3.381369513451886,0.0003717528616040302,93.69992281123996
72,0.1550003544154784,3.3298507190731272,0.0003682242520208893,95.09910782240331
73,0.15514234128895305,3.371181912215783,0.00036466508710139664,96.60969726927578
74,0.15465974260344165,3.36231571786205,0.00036107629062701074,98.00966326147318
75,0.15278864514598212,3.370718798075462,0.00035745879407006204,99.4124460015446
76,0.15053700344758428,3.3414258430282677,0.000353813536351989,100.80747507698834
77,0.1485867252468815,3.3563019062782717,0.0003501414635996411,102.20598036982119
78,0.14803275796503548,3.316666675331213,0.00034644352889971134,103.60198669694364
79,0.14710473449646344,3.346121887133529,0.00034272069205136275,105.11477668955922
80,0.1481503815328968,3.320049197929119,0.0003389739193171126,106.5128775369376
81,0.14769610739698205,3.3910982465188306,0.00033520418317203865,107.91701499372721
82,0.14518052988777344,3.351631641283637,0.00033141246205137286,109.32024882920086
83,0.14335354678531478,3.3402721520067997,0.0003275997400965494,110.56015924550593
