epoch,train_mse_z,val_rmse_log2,lr,elapsed_seconds
1,0.8631160915043388,4.474435345533261,4e-05,4.421190841123462
2,0.777801091617328,4.600540992330709,8e-05,8.414416329935193
3,0.730801273812483,4.3375585797485785,0.00012000000000000002,12.25298641808331
4,0.6995418286179156,4.173355350132054,0.00016,16.262413058429956
5,0.6597009386581397,4.111932828017742,0.0002,20.2547900211066
6,0.6301998444279354,4.047174185704653,0.00019998708738465178,24.24132200703025
7,0.582488370935212,3.968264934642966,0.0001999483528900772,28.16792226396501
8,0.5621666375954759,3.880334814563785,0.0001998838065698165,32.14223872311413
9,0.5274194439658094,3.8330507698518925,0.00019979346517687085,36.10899300687015
10,0.5056899794077104,3.7701542891770297,0.00019967735215935392,40.12549922801554
11,0.4841927165721323,3.768027664192136,0.00019953549765440605,44.0862211342901
12,0.465361735062822,3.956937290149844,0.00019936793848037215,48.11639984510839
13,0.44990061360221006,3.6608244744409624,0.00019917471812724543,51.932993741706014
14,0.434759525346312,3.6181363902283676,0.0001989558867453796,55.92287989705801
15,0.4219779702753548,3.631012904344686,0.0001987115011324723,60.16513790562749
16,0.41094721884039137,3.7648073983493524,0.00019844162471882349,64.13436298631132
17,0.39266154283987165,3.707488304079537,0.00019814632755087164,68.00067247822881
18,0.3847353474136762,3.5428974779526454,0.00019782568627301367,71.84215298853815
19,0.3741144468046642,3.684379302746259,0.0001974797841077116,75.85905398614705
20,0.3679365392383395,3.654988690362337,0.0001971087108338922,79.70075307413936
21,0.35621551621254405,3.515053915489993,0.00019671256276364497,83.63699817843735
22,0.34988158639016315,3.497373388287435,0.00019629144271722418,87.80775488354266
23,0.3462549185630028,3.529425618022673,0.00019584545999636204,91.8307747785002
24,0.3388045799836731,3.5448072551246184,0.00019537473035589927,95.69973121583462
25,0.33205398025795446,3.5131119902506502,0.00019487937597374098,99.56980641372502
26,0.32577941392479437,3.5439280358104135,0.00019435952541914543,103.42397086694837
27,0.3205738979664761,3.4610712447026097,0.00019381531361935386,107.28560950607061
28,0.3105229751268304,3.45589176645218,0.00019324688182457002,111.31664648093283
29,0.30905146677692535,3.464615114204675,0.00019265437757129877,115.31983849778771
30,0.3061403165746746,3.455388922153128,0.000192037954644053,119.14343154989183
31,0.2979364589100493,3.545902715684435,0.00019139777303543877,123.1228240057826
32,0.2915284461013062,3.4880395305385643,0.00019073399890462926,127.15825181640685
33,0.28950768203273297,3.4077927985608225,0.00019004680453423812,131.24554968252778
34,0.28504529103204373,3.4628487902012495,0.00018933636828560348,135.6008578054607
35,0.2828051248036812,3.4175045477431185,0.0001886028745524944,139.50341825746
36,0.2790911771996181,3.4182333383647245,0.00018784651371325128,143.35399712249637
37,0.276342471103001,3.451805322492332,0.0001870674820813732,147.17663903348148
38,0.270806262993763,3.409732904098239,0.0001862659818545649,151.06605465337634
39,0.269667388797399,3.382065549438813,0.00018544222106225608,154.87599658593535
40,0.2663536482108153,3.4427119686814276,0.00018459641351160758,158.85076165013015
41,0.26119290865384615,3.404350529082993,0.00018372877873201756,162.72053682245314
42,0.2596021657566325,3.477298739916773,0.00018283954191814275,167.0063227172941
43,0.2583565034843058,3.3371186085679914,0.00018192893387144912,171.01160909421742
44,0.2539954717795241,3.38482027487204,0.00018099719094030728,175.02191820554435
45,0.24847813199120944,3.3838015450767953,0.0001800445549586484,178.83673780597746
46,0.2465784782679314,3.4619286275936956,0.00017907127318319597,182.74601128697395
47,0.24944633063901067,3.474350216228362,0.00017807759822929063,186.5621534064412
48,0.24445917963453628,3.482788174062034,0.00017706378800532352,190.38732149638236
49,0.24256270373372954,3.5094980622244107,0.0001760301056457963,194.193787464872
50,0.23990118914116876,3.3472977178617707,0.00017497681944302456,198.04972106218338
51,0.236850987137587,3.3982972906241384,0.0001739042027775026,201.91964726150036
52,0.236764170793128,3.54399142209419,0.0001728125340469472,205.83547128923237
53,0.23140486146812572,3.3964742525773337,0.00017170209659404006,209.73802638985217
54,0.22698616552641687,3.3808891121432625,0.00017057317863288556,213.59214846231043
55,0.22637189685635678,3.3600832468817585,0.00016942607317420517,217.52484505809844
56,0.22617123060822109,3.4199590223584555,0.00016826107794928633,221.59879036992788
57,0.22411169269185574,3.43788551260476,0.0001670784953327064,225.43500054627657
58,0.22441808774179697,3.366936547621011,0.00016587863226385122,229.31774353422225
59,0.22298736144694026,3.3940895332025165,0.00016466180016724898,233.23034204915166
60,0.2164825574620921,3.4821664425704437,0.00016342831487174003,237.17683338560164
61,0.21716828300133328,3.3857959383883554,0.00016217849652850347,241.2254167944193
62,0.21603704440618504,3.367595583002097,0.00016091266952796178,245.332433052361
63,0.21361397684002983,3.4110530978459916,0.00015963116241558546,249.34283975325525
64,0.2112504493087883,3.4064465224187885,0.00015833430780661886,253.22439084388316
65,0.21074431487559883,3.38828104465279,0.00015702244229975,257.3419228140265
66,0.20831765019095183,3.40911602514512,0.00015569590638974632,261.5555449742824
67,0.2091060811870085,3.444540465834012,0.00015435504437907917,265.5459419861436
68,0.20549733274767243,3.409803265906068,0.00015300020428856022,269.43896011821926
