epoch,train_loss,train_rmse,val_rmse,val_R2,val_PCC,val_Spearman,gamma,generalization_gap,seconds,train_mean_abs_correction,val_mean_abs_correction
0,0.12865096249240804,1.8250527541205857,3.1610845404644228,0.6146532201154173,0.7863548142776203,0.7783529262428985,0.0,1.3360317863438371,0.0,,
1,0.12805881116057374,1.8191435212896099,3.157841056363789,0.6154435975410588,0.7863768125962569,0.7783748712971513,-0.004801138304173946,1.3386975350741792,34.30597925931215,0.09841839969158173,0.09918859601020813
2,0.1279875556234155,1.818251661856873,3.1595003962154355,0.6150393483055325,0.7861224764454554,0.7778711197415006,-0.006449330132454634,1.3412487343585626,68.722666176036,0.19840113818645477,0.20016181468963623
3,0.12794216701170424,1.8175114303788498,3.1588442906847027,0.6151992144590571,0.786347691091222,0.7781501567768813,-0.006967900320887566,1.341332860305853,103.18023103661835,0.19813570380210876,0.20000238716602325
4,0.1278663286387861,1.8171826720679611,3.1584322142893413,0.6152996036921843,0.786292339832423,0.7781562991238494,-0.006994021125137806,1.3412495422213802,138.25979116372764,0.1285209059715271,0.1303243488073349
5,0.12789785698383527,1.8168032397509442,3.1587644709073275,0.6152186610174496,0.7862444795514041,0.778076897437823,-0.008231054060161114,1.3419612311563833,174.6797270849347,0.1331731081008911,0.1360083669424057
6,0.12776443278523905,1.8163975499086638,3.1584291754334095,0.6153003439635845,0.7862949164347454,0.7781309012676497,-0.008322145789861679,1.3420316255247458,209.33492429554462,0.14975187182426453,0.15177085995674133
7,0.12773243196239245,1.8162553968403425,3.158366349828661,0.6153156482473389,0.7864734677190681,0.7782476690867506,-0.009322050027549267,1.3421109529883186,246.3137912750244,0.18093128502368927,0.18451562523841858
8,0.12777203836929601,1.8159577995185978,3.158079132425597,0.6153856103761477,0.7864503080514169,0.778211692807112,-0.009695125743746758,1.3421213329069992,283.7365987598896,0.12919390201568604,0.13147267699241638
9,0.12769149502578184,1.8159345187564806,3.158488790492802,0.615285821485475,0.7864097913462378,0.7781636376747436,-0.010336235165596008,1.3425542717363215,321.2882066555321,0.1821090430021286,0.18564826250076294
10,0.12764590396341682,1.815390128866822,3.158011927959477,0.615401979522461,0.7864356432444322,0.7782007664950223,-0.010750515386462212,1.342621799092655,358.60521631129086,0.1488417387008667,0.15150587260723114
11,0.12760304059881442,1.8159046804275283,3.158188519797307,0.6153589658976097,0.7864793946170759,0.7782270166358872,-0.010753428563475609,1.3422838393697787,398.4025913756341,0.11221306025981903,0.1135319247841835
12,0.12761465302537775,1.8163907328336744,3.1582170309404907,0.6153520210271372,0.7864173892739504,0.7782519767251131,-0.01102724950760603,1.3418262981068163,437.5235894918442,0.0972348004579544,0.09968005120754242
13,0.12754794049573334,1.8152415010529481,3.1579741390206038,0.6154111837081724,0.7864257543539033,0.7782101047677209,-0.0120179932564497,1.3427326379676556,476.46011544018984,0.13325761258602142,0.13564887642860413
14,0.1275405557715881,1.816444696752873,3.1579572076397504,0.6154153076192485,0.7864417104944751,0.7783188107564262,-0.011680281721055508,1.3415125108868775,514.3068923018873,0.09475476294755936,0.09659752249717712
15,0.1276073820197344,1.816688265526409,3.1587978672629,0.6152105246955027,0.7863575865870905,0.7781714448971456,-0.012101865373551846,1.342109601736491,552.3406892418861,0.08376285433769226,0.08536597341299057
16,0.1274462230277947,1.81769997292496,3.1584607360814276,0.6152926556917102,0.7864049148789688,0.7782849722766463,-0.011338066309690475,1.3407607631564675,587.9391806796193,0.07522163540124893,0.07662873715162277
17,0.12747935424777274,1.8138264914127777,3.158323490041075,0.615326088694018,0.7864842468451173,0.7781396171967553,-0.013417558744549751,1.3444969986282973,622.0290634594858,0.16193410754203796,0.16584444046020508
18,0.12741641536008855,1.8150723922791039,3.1582755748293354,0.6153377604509829,0.7864200397252845,0.7782214855749263,-0.012466059066355228,1.3432031825502315,656.3489927500486,0.10974130779504776,0.11129274219274521
19,0.12733543645427228,1.8167376745537496,3.159147099945109,0.6151254363203086,0.7864253771830667,0.7782092127891591,-0.011955482885241508,1.3424094253913594,691.6475097239017,0.06427163630723953,0.06532137840986252
20,0.12734461083306464,1.8133703535724037,3.158198378461895,0.6153565644875376,0.7864475365215432,0.778177195125121,-0.01410331018269062,1.3448280248894915,726.5546313431114,0.09711884707212448,0.09912067651748657
21,0.1270966300078987,1.8104825773663151,3.1552859436544893,0.616065660154717,0.7869305454573033,0.778586358676969,-0.014088230207562447,1.3448033662881742,762.1749523840845,0.10011990368366241,0.10177433490753174
22,0.1262323099887146,1.793051385232462,3.1445960172170677,0.618662748010548,0.7887514161052127,0.779831655447464,-0.016163410618901253,1.3515446319846056,798.4087409880012,0.2026212513446808,0.20796489715576172
23,0.12461115123403878,1.7825044895931272,3.1405975013160785,0.6196319113862251,0.7897641265714711,0.7811513595612116,-0.01660817675292492,1.3580930117229513,833.9054783713073,0.24864234030246735,0.2586064636707306
24,0.1234325451838176,1.7734636957558596,3.1396300166314544,0.6198662257913465,0.7896779778909127,0.7806443726694617,-0.01762259192764759,1.3661663208755948,868.3686564173549,0.19878262281417847,0.2045135796070099
25,0.12301072120952054,1.7802224360414103,3.143506258072276,0.6189270069158024,0.7889174964439333,0.7802735704333812,-0.015472286380827427,1.3632838220308656,902.2594205364585,0.12523715198040009,0.12620989978313446
26,0.12183804165201184,1.7682222508873324,3.1350682394599922,0.6209700665496538,0.7900915410857963,0.7816567331795933,-0.014927244745194912,1.3668459885726598,939.3687940724194,0.15032167732715607,0.1530206799507141
27,0.12089699071564382,1.749442718577533,3.1264025106091937,0.623062544858139,0.7918406290559844,0.7833141781994313,-0.018658051267266273,1.3769597920316607,975.8404105398804,0.2394503951072693,0.2421470731496811
28,0.12043103389829211,1.7445507017058652,3.133401458694349,0.6213729871974337,0.7910838426216473,0.7825461092393636,-0.016911379992961884,1.3888507569884836,1015.1345215123147,0.2511763870716095,0.2509394586086273
29,0.11894875251731249,1.7350223276703745,3.126391236266009,0.6230652634553455,0.7918391741600346,0.7828011527319001,-0.018553510308265686,1.3913689085956344,1053.4311151206493,0.22298361361026764,0.22221863269805908
30,0.11798989176844468,1.7376486887229485,3.12507923400543,0.6233815613345395,0.7917972089535831,0.7825659462641802,-0.016405396163463593,1.3874305452824816,1092.1106424275786,0.19412703812122345,0.19179756939411163
31,0.11765349525791616,1.7230230356356817,3.128700096688997,0.6225083203303258,0.7915726432315772,0.781990529362947,-0.02071501314640045,1.4056770610533154,1131.9921197686344,0.24088628590106964,0.23835192620754242
32,0.11722768450070492,1.7191823194949196,3.119864377553264,0.6246374478345205,0.7929632046887084,0.7827837636863914,-0.020429207012057304,1.4006820580583443,1171.6585861854255,0.2526129186153412,0.24265490472316742
33,0.11586094708527492,1.7065048705372092,3.126989417784794,0.6229210096198021,0.7924681040006065,0.7826966846337107,-0.021460408344864845,1.4204845472475847,1211.2975294273347,0.2934859097003937,0.2891848683357239
34,0.11573736228282495,1.708258108063541,3.115666745655004,0.6256468339237548,0.7931001196726079,0.7835959858687932,-0.019493237137794495,1.407408637591463,1251.5114298649132,0.1793503314256668,0.17134720087051392
35,0.11555577989243032,1.6980040679781274,3.1201007411910138,0.6245805700934408,0.7929426151423266,0.7829451854379792,-0.022252166643738747,1.4220966732128864,1290.2451156210154,0.2959486246109009,0.2904731035232544
36,0.11356489274802006,1.6863748545926067,3.1182811414585756,0.6250183212814877,0.7933247056706234,0.7831398193563642,-0.02192385494709015,1.4319062868659689,1325.9165591858327,0.2721116542816162,0.26334378123283386
37,0.11252974169730365,1.6797832811740532,3.115052150511244,0.6257945088610243,0.7937047600709346,0.7829811798633989,-0.023198818787932396,1.4352688693371907,1362.2317259479314,0.259788453578949,0.24918372929096222
38,0.11208326581262458,1.6811029612865556,3.107972297106609,0.6274935554394607,0.7944177206341778,0.7844356393690112,-0.021223312243819237,1.4268693358200533,1397.1607913281769,0.22805117070674896,0.2215782105922699
39,0.11208103237228982,1.6915739673098102,3.1260181617353995,0.623155217878099,0.7914492744021158,0.7820664674729687,-0.0220064427703619,1.4344441944255892,1432.3580108247697,0.18409450352191925,0.17403528094291687
40,0.11093517363510542,1.6616236946762357,3.1183934247549048,0.6249913160596462,0.7932246953781446,0.7827316733859078,-0.02370057813823223,1.456769730078669,1468.731893869117,0.25864896178245544,0.24748210608959198
41,0.11128498298651184,1.6632055311345983,3.1153819777413734,0.6257152615875862,0.7938788424421582,0.7835036921722132,-0.022600218653678894,1.452176446606775,1505.3542097117752,0.29084905982017517,0.2812027633190155
42,0.11057583533189055,1.6614667963717429,3.1181861296375155,0.6250411717864728,0.7931073140846947,0.7829327218379806,-0.023349227383732796,1.4567193332657726,1546.5335958320647,0.23334726691246033,0.2244652658700943
43,0.11059715730552054,1.6584239125956768,3.1093282835979426,0.6271684406396854,0.7942634762146076,0.7838027337973593,-0.02184121496975422,1.4509043710022658,1588.9261761642992,0.21749913692474365,0.20967288315296173
44,0.10968629647934296,1.6653849065727802,3.122095793821031,0.6241003157428533,0.7925758706048748,0.7826063305510341,-0.021670076996088028,1.4567108872482508,1632.2225290685892,0.27953463792800903,0.2647174298763275
45,0.10906931589425155,1.6467013499040246,3.0946903585460683,0.6306705695324099,0.7964307631583281,0.7855877453608632,-0.020170871168375015,1.4479890086420437,1669.8156521003693,0.2476349025964737,0.2453588992357254
46,0.10699204959848804,1.631434964670552,3.09658954498765,0.6302171214680856,0.7962865150903029,0.7850372372303182,-0.02225697599351406,1.465154580317098,1704.9016293250024,0.26449400186538696,0.2531893849372864
47,0.10579109447341084,1.6254836913891104,3.099145699669004,0.6296063770664941,0.7965612915615553,0.7849562577119028,-0.022612811997532845,1.4736620082798937,1739.1999970674515,0.31297650933265686,0.2998153269290924
48,0.10582485178595456,1.626917031921382,3.094364687390052,0.6307482985455124,0.796480896688201,0.7851454337195078,-0.02002907544374466,1.4674476554686702,1776.4377321079373,0.2385667860507965,0.22390592098236084
49,0.10491646629749171,1.6164362613229692,3.0946860806811034,0.6306715905976255,0.7965966481145632,0.7855382561447171,-0.02186179906129837,1.4782498193581342,1812.8475077450275,0.2938425540924072,0.27813634276390076
50,0.10468933523552527,1.6116662608627486,3.1009623554289965,0.629172015479553,0.7956246395474887,0.7850601423098125,-0.021370941773056984,1.489296094566248,1853.1604980155826,0.30103614926338196,0.2867470383644104
51,0.10501449616242196,1.6164831781328168,3.0762364919098317,0.6350621140398894,0.799335469548599,0.7883264549588523,-0.021184463053941727,1.459753313777015,1894.1961696110666,0.3028716742992401,0.2873827815055847
52,0.10430869900284824,1.608695103388566,3.08500327870631,0.6329791198069965,0.7983680229491966,0.7862235397976026,-0.022492283955216408,1.476308175317744,1937.2332831230015,0.35051172971725464,0.3363862931728363
